binder,extra water,alkaline solution,molarity of mix,fine aggregate,coarse aggregate,age,curing temperature,compressive strength,water,pozzolan,foaming agent,density,concrete type,water binder ratio
500.0,36.344,270.734,10.0,525.0,975.0,60.0,28.0,53.13,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,472.0,877.5,28.0,28.0,40.0,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,472.0,877.5,60.0,28.0,55.4,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,420.0,780.0,28.0,28.0,28.3,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,420.0,780.0,60.0,28.0,42.2,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,367.0,682.5,28.0,28.0,24.8,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,367.0,682.5,60.0,28.0,38.3,,,,,0,0.6141559999999999
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,48.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,54.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,53.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,54.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,54.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,48.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,54.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,55.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,57.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,57.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,57.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,54.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,51.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,56.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,55.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,58.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,55.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,52.0,,,,,0,0.4596348884381339
450.0,90.0,144.0,14.0,328.5,1228.5,3.0,28.0,22.7,,,,,0,0.52
450.0,76.5,180.0,14.0,364.5,1309.5,3.0,28.0,22.1,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1309.5,7.0,28.0,32.8,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1309.5,28.0,28.0,42.1,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1215.0,7.0,28.0,23.8,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1215.0,28.0,28.0,25.4,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1116.0,7.0,28.0,16.1,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1116.0,28.0,28.0,18.8,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1021.5,7.0,28.0,10.1,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1021.5,28.0,28.0,11.5,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,922.5,7.0,28.0,7.0,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,922.5,28.0,28.0,7.7,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1273.5,7.0,28.0,27.4,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1273.5,28.0,28.0,29.1,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1233.0,7.0,28.0,25.4,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1233.0,28.0,28.0,28.9,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1264.5,7.0,28.0,25.3,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1264.5,28.0,28.0,26.7,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1219.5,7.0,28.0,25.4,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1219.5,28.0,28.0,26.3,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1134.0,7.0,28.0,16.1,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1134.0,28.0,28.0,17.1,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1125.0,7.0,28.0,16.3,,,,,0,0.57
450.0,76.5,180.0,14.0,364.5,1125.0,28.0,28.0,16.5,,,,,0,0.57
400.0,49.23,160.0,14.0,650.0,1210.0,7.0,28.0,16.0,,,,,0,0.523075
400.0,49.23,160.0,14.0,650.0,1210.0,28.0,28.0,29.0,,,,,0,0.523075
339.0,0.0,135.6,8.0,508.5,1017.0,28.0,28.0,23.12,,,,,0,0.39999999999999997
336.2,0.0,151.4,8.0,504.2,1008.4,28.0,28.0,22.07,,,,,0,0.4503271861986913
333.3,0.0,166.7,8.0,500.0,1000.0,28.0,28.0,24.0,,,,,0,0.5001500150015001
327.9,0.0,196.7,8.0,491.8,983.6,28.0,28.0,21.02,,,,,0,0.5998780115888991
317.5,0.0,254.0,8.0,476.2,952.4,28.0,28.0,20.0,,,,,0,0.8
339.0,0.0,135.6,14.0,508.5,1017.0,28.0,28.0,24.0,,,,,0,0.39999999999999997
336.2,0.0,151.4,14.0,504.2,1008.4,28.0,28.0,24.0,,,,,0,0.4503271861986913
333.3,0.0,166.7,14.0,500.0,1000.0,28.0,28.0,26.08,,,,,0,0.5001500150015001
327.9,0.0,196.7,14.0,491.8,983.6,28.0,28.0,24.0,,,,,0,0.5998780115888991
317.5,0.0,254.0,14.0,476.2,952.4,28.0,28.0,24.0,,,,,0,0.8
333.4,0.0,166.7,8.0,500.0,1000.0,28.0,28.0,26.08,,,,,0,0.5
327.9,0.0,196.7,8.0,491.8,983.6,28.0,28.0,21.02,,,,,0,0.5998780115888991
317.5,0.0,254.0,8.0,476.2,952.4,28.0,28.0,19.98,,,,,0,0.8
333.4,0.0,166.7,8.0,500.0,1000.0,28.0,28.0,28.0,,,,,0,0.5
327.9,0.0,196.7,8.0,491.8,983.6,28.0,28.0,24.0,,,,,0,0.5998780115888991
317.4,0.0,254.0,8.0,476.2,952.4,28.0,28.0,24.0,,,,,0,0.800252047889099
414.0,0.0,207.0,14.0,515.0,956.0,28.0,28.0,62.41,,,,,0,0.5
414.0,0.0,207.0,14.0,515.0,956.0,28.0,28.0,79.56,,,,,0,0.5
414.0,0.0,207.0,14.0,515.0,956.0,28.0,28.0,77.88,,,,,0,0.5
414.0,0.0,207.0,14.0,515.0,956.0,28.0,28.0,72.59,,,,,0,0.5
414.0,0.0,207.0,14.0,515.0,956.0,28.0,28.0,75.2,,,,,0,0.5
410.0,16.4,233.8,14.0,756.3,1035.0,28.0,28.0,27.0,,,,,0,0.6102439024390244
470.0,14.1,286.7,14.0,667.5,953.2,28.0,28.0,30.0,,,,,0,0.64
400.0,50.0,160.0,10.0,650.0,1210.0,7.0,28.0,17.06,,,,,0,0.525
400.0,50.0,160.0,10.0,650.0,1210.0,28.0,20.0,19.99479,,,,,0,0.525
450.0,0.0,270.0,4.1,500.0,1150.0,7.0,28.0,18.9,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,7.0,28.0,17.2,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,7.0,28.0,21.4,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,7.0,28.0,19.1,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,7.0,28.0,18.6,,,,,0,0.6
455.4,0.0,270.0,4.1,500.0,970.0,7.0,28.0,22.9,,,,,0,0.5928853754940712
460.8,0.0,270.0,4.1,500.0,970.0,7.0,28.0,22.6,,,,,0,0.5859375
466.2,0.0,270.0,4.1,500.0,970.0,7.0,28.0,21.0,,,,,0,0.5791505791505792
450.0,0.0,270.0,4.1,500.0,970.0,28.0,28.0,37.4,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,28.0,28.0,33.9,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,28.0,28.0,38.2,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,28.0,28.0,36.5,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,28.0,28.0,34.2,,,,,0,0.6
455.4,0.0,270.0,4.1,500.0,970.0,28.0,28.0,38.1,,,,,0,0.5928853754940712
460.8,0.0,270.0,4.1,500.0,970.0,28.0,28.0,37.2,,,,,0,0.5859375
466.2,0.0,270.0,4.1,500.0,970.0,28.0,28.0,36.0,,,,,0,0.5791505791505792
450.0,0.0,270.0,4.1,500.0,970.0,90.0,28.0,48.7,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,90.0,28.0,42.6,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,90.0,28.0,47.3,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,90.0,28.0,44.7,,,,,0,0.6
450.0,0.0,270.0,4.1,500.0,970.0,90.0,28.0,44.2,,,,,0,0.6
455.4,0.0,270.0,4.1,500.0,970.0,90.0,28.0,47.5,,,,,0,0.5928853754940712
460.8,0.0,270.0,4.1,500.0,970.0,90.0,28.0,46.4,,,,,0,0.5859375
466.2,0.0,270.0,4.1,500.0,970.0,90.0,28.0,47.5,,,,,0,0.5791505791505792
